epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6902654767036438,0.7588504552841187,0.0003000000142492354,0.6408068537712097,0.6860607266426086,0.7015649080276489,0.6728964447975159,0.9006211757659912,0.6692671179771423,0.9686956405639648,0.35941281914711
1,0.728488564491272,0.8076371550559998,0.0003000000142492354,0.5546634197235107,0.7213932871818542,0.7445127964019775,0.6834142208099365,0.9087921380996704,0.6302799582481384,0.9715346693992615,0.3798999786376953
2,0.7440627813339233,0.8235987424850464,0.0003000000142492354,0.5346284508705139,0.7363121509552002,0.7604619860649109,0.6843851208686829,0.9128567576408386,0.6165703535079956,0.9720624685287476,0.38167446851730347
3,0.7470876574516296,0.8280759453773499,0.0003000000142492354,0.5289159417152405,0.7400660514831543,0.7617118954658508,0.6686893105506897,0.9165081977844238,0.6337487697601318,0.9799270033836365,0.3465074896812439
4,0.7533623576164246,0.8340361714363098,0.0003000000142492354,0.5221378207206726,0.7462461590766907,0.7678115963935852,0.6822815537452698,0.9098730683326721,0.6218477487564087,0.9733333587646484,0.3768349587917328
5,0.7566871643066406,0.8390674591064453,0.0003000000142492354,0.5171733498573303,0.7486439347267151,0.7728613615036011,0.6732200384140015,0.9093996286392212,0.6337635517120361,0.9724409580230713,0.358606219291687
6,0.8486325740814209,0.928244411945343,9.999999747378752e-06,0.39010876417160034,0.8440738320350647,0.8552572131156921,0.8186084032058716,0.9763472080230713,0.47677135467529297,0.9900916814804077,0.6447814106941223
7,0.9061297178268433,0.9685212969779968,9.999999747378752e-06,0.29927539825439453,0.905622661113739,0.9067546725273132,0.8443365693092346,0.9839460253715515,0.4380529522895813,0.9937629699707031,0.6939828991889954
8,0.9259536862373352,0.9787991642951965,9.999999747378752e-06,0.26603853702545166,0.9261241555213928,0.9257537126541138,0.9016990065574646,0.9878023266792297,0.3187951445579529,0.9893951416015625,0.8127117156982422
9,0.9358782172203064,0.9835906028747559,9.999999747378752e-06,0.24742935597896576,0.9333432912826538,0.9388030767440796,0.8781553506851196,0.9866112470626831,0.37150338292121887,0.9932730793952942,0.7622197270393372
10,0.9449277520179749,0.986769437789917,9.999999747378752e-06,0.23296454548835754,0.9431331753730774,0.9469526410102844,0.8908575773239136,0.9890344738960266,0.3421725332736969,0.9938900470733643,0.787223756313324
11,0.9483025670051575,0.9884471297264099,9.999999747378752e-06,0.22431403398513794,0.946027934551239,0.9508524537086487,0.9180420637130737,0.9911496043205261,0.29024550318717957,0.9918437004089355,0.8435231447219849
12,0.9519523978233337,0.989804744720459,9.999999747378752e-06,0.21664920449256897,0.9493910074234009,0.9548022747039795,0.9216019511222839,0.9908936619758606,0.2793445289134979,0.9935824871063232,0.8491691946983337
13,0.9551522135734558,0.9911291003227234,9.999999747378752e-06,0.20996259152889252,0.9534744620323181,0.9570021629333496,0.9372977614402771,0.9924463033676147,0.24590137600898743,0.9904159307479858,0.8835296034812927
